,sample,input,filtered,denoisedF,denoisedR,merged,nonchim,Sample_Date,Sample_Date_No,Bog,Bog_No.,PlantID,LeafID,Leaf_Year,qPCR_raw,qPCR_log10,PCT.Abv.Q30,Mean.Q,Pielou,Obs,Chao1,Shannon,Simpson,InvSimpson,Fischer,LeafYr,Log10.nifH
A10B,A10B,50751,43337,42690,42969,42011,39519,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_2,1,279145,5.445829853,81.05,33.53,0.612105939,151,151,3.071106784,0.910621788,11.18840903,19.88074744,1,4.34
A11A,A11A,44366,37522,36914,37231,36048,34837,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_3,2,481833,5.682896541,81.32,33.59,0.714832239,107,107,3.340288698,0.941876884,17.20485864,13.6375193,2,4.05
A12B,A12B,27209,22349,21921,22115,21493,21260,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_3,2,42054,4.62380731,79.88,33.3,0.682394033,171,171,3.50864053,0.913287873,11.53241235,25.40556543,2,4.24
A13A,A13A,47120,40820,40194,40488,39560,37369,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_4,2,129463,5.112145667,81.88,33.72,0.646418811,179,179,3.353223763,0.928625075,14.01052253,24.40538905,2,4.7
A14B,A14B,41068,35654,35298,35469,34687,33172,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_4,2,19229,4.283956699,81.46,33.65,0.53940307,110,110,2.535453537,0.845279339,6.463260911,14.17882322,2,3.79
A15A,A15A,42649,36644,36143,36403,35506,32277,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_5,2,247022,5.392735634,81.27,33.59,0.504823614,104,104,2.3445982,0.779893546,4.54325614,13.34853571,2,4.34
A16B,A16B,39330,33738,33341,33503,32780,30498,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_5,2,2417096,6.3832939,79.92,33.28,0.531127453,102,102,2.456450031,0.827874975,5.809730454,13.16408364,2,4.79
A17A,A17A,54069,46958,46531,46671,45403,42121,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_1,2,89779,4.953174764,82.35,33.84,0.580354049,155,155,2.926972187,0.888345772,8.956221501,20.29176067,2,4.68
A18B,A18B,53207,45030,44510,44715,43111,40461,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_1,2,518431,5.714690963,81.1,33.54,0.589901254,153,153,2.96746164,0.897100909,9.718258792,20.11237911,2,4.64
A19A,A19A,60742,50598,49962,50149,48748,45608,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_2,2,180683,5.256917293,80.68,33.47,0.654423281,153,153,3.292035689,0.93013786,14.31390443,19.75502921,2,4.63
A1A,A1A,48169,40485,39746,40039,38654,37155,Aug,3 (August),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_1,1,507854,5.705738877,80.8,33.46,0.68333539,246,246,3.761987872,0.942001159,17.24172395,35.35284869,1,5.83
A20B,A20B,47074,40438,39961,40139,39085,39055,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_2,2,25973,4.414522116,81.37,33.61,0.775391978,256,256,4.299686105,0.973338796,37.50768299,36.7282195,2,5.11
